Wall time,Step,Value
1738853547.315125,34560,1.0
1738853565.4867756,69120,0.0
1738853627.3945243,103680,1.0
1738853643.5976667,138240,1.0
1738853704.585432,172800,0.0
1738853720.8859682,207360,0.0
1738853781.8726237,241920,4.0
1738853798.4016216,276480,2.0
1738853859.0616233,311040,4.0
1738853875.5429795,345600,10.0
1738853936.2513137,380160,3.0
1738853952.6511562,414720,6.0
1738854013.1964138,449280,13.0
1738854029.5912352,483840,14.0
1738854092.2654734,518400,8.0
1738854109.089861,552960,12.0
1738854173.8050258,587520,14.0
1738854191.304307,622080,18.0
1738854255.9567177,656640,18.0
1738854273.5935204,691200,9.0
1738854339.1218112,725760,22.0
1738854356.3746822,760320,24.0
1738854505.4304843,794880,25.0
1738854648.0792875,829440,21.0
1738854729.1426265,864000,17.0
1738854747.4754045,898560,20.0
1738854809.0549834,933120,17.0
1738854825.4349818,967680,23.0
1738854889.9265866,1002240,25.0
1738854908.466584,1036800,26.0
1738854970.2968469,1071360,24.0
1738854987.3806806,1105920,20.0
1738855050.9646466,1140480,22.0
1738855067.7280798,1175040,31.0
1738855130.6238544,1209600,24.0
1738855147.4210076,1244160,25.0
1738855208.6644237,1278720,34.0
1738855224.8613603,1313280,26.0
1738855286.167677,1347840,26.0
1738855302.843762,1382400,20.0
1738855364.689439,1416960,28.0
1738855381.3980184,1451520,29.0
1738855442.7725537,1486080,34.0
1738855459.1857355,1520640,25.0
1738855521.4092462,1555200,35.0
1738855537.5268693,1589760,22.0
1738855598.1584454,1624320,26.0
1738855614.3994446,1658880,27.0
1738855674.862563,1693440,32.0
1738855691.1487408,1728000,35.0
1738855751.7597156,1762560,28.0
1738855768.2741437,1797120,27.0
1738855828.8623483,1831680,28.0
1738855845.1141267,1866240,26.0
1738855905.5125148,1900800,31.0
1738855921.7305589,1935360,27.0
1738855983.247614,1969920,32.0
1738855999.7045684,2004480,21.0
1738856060.429477,2039040,29.0
1738856076.704426,2073600,21.0
1738856137.6267004,2108160,24.0
1738856153.8957906,2142720,28.0
1738856214.228369,2177280,26.0
1738856230.3457308,2211840,32.0
1738856290.9154687,2246400,29.0
1738856307.1026843,2280960,30.0
1738856367.386157,2315520,30.0
1738856426.4591763,2350080,39.0
1738856486.9436722,2384640,26.0
1738856503.0686707,2419200,33.0
1738856563.2466714,2453760,23.0
1738856579.2662325,2488320,34.0
1738856639.301632,2522880,30.0
1738856655.3061497,2557440,30.0
1738856721.936471,2592000,30.0
1738856738.0124676,2626560,32.0
1738856798.5034716,2661120,33.0
1738856814.7874682,2695680,33.0
1738856875.6733172,2730240,24.0
1738856891.7117178,2764800,37.0
1738856952.2974498,2799360,23.0
1738856968.4029832,2833920,34.0
1738857029.0998461,2868480,36.0
1738857045.1526172,2903040,30.0
1738857105.5673935,2937600,30.0
1738857121.7858202,2972160,24.0
1738857182.14632,3006720,35.0
1738857198.2183156,3041280,38.0
1738857258.647542,3075840,34.0
1738857274.8592064,3110400,27.0
1738857335.1884933,3144960,28.0
1738857351.3589964,3179520,39.0
1738857413.221705,3214080,28.0
1738857430.3999486,3248640,27.0
1738857490.7513645,3283200,31.0
1738857506.9828992,3317760,26.0
1738857567.3575647,3352320,30.0
1738857583.5735185,3386880,27.0
1738857644.0064826,3421440,26.0
1738857660.323706,3456000,34.0
1738857721.0025167,3490560,31.0
1738857737.7893407,3525120,38.0
1738857798.3996193,3559680,26.0
1738857814.6799374,3594240,29.0
1738857875.1876388,3628800,34.0
1738857891.438471,3663360,29.0
1738857952.3083541,3697920,35.0
1738857968.6876154,3732480,30.0
1738858030.1058123,3767040,29.0
1738858046.8884535,3801600,37.0
1738858107.8656435,3836160,32.0
1738858124.5286639,3870720,29.0
1738858185.841509,3905280,31.0
1738858202.3450882,3939840,32.0
1738858263.6903405,3974400,26.0
1738858280.2268138,4008960,33.0
1738858341.004593,4043520,36.0
1738858357.8345897,4078080,33.0
1738858418.5585043,4112640,27.0
1738858434.717361,4147200,28.0
1738858496.7681,4181760,32.0
1738858514.6142054,4216320,35.0
1738858575.1997097,4250880,29.0
1738858591.206709,4285440,36.0
1738858652.3960712,4320000,35.0
1738858668.4893882,4354560,33.0
1738858728.8474705,4389120,37.0
1738858745.1385355,4423680,36.0
1738858807.4242656,4458240,26.0
1738858824.670784,4492800,28.0
1738858887.060476,4527360,35.0
1738858903.7106495,4561920,35.0
1738858966.3374717,4596480,35.0
1738858983.8718705,4631040,39.0
1738859051.594535,4665600,28.0
1738859071.3264644,4700160,26.0
1738859135.284547,4734720,33.0
